trip_id,route_id,direction_id,start_time,start_date,schedule_relationship,train_id,is_assigned,direction,stop_sequence,stop_id,arrival_delay,arrival_time,arrival_uncertainty,departure_delay,departure_time,departure_uncertainty,schedule_relationship_update,scheduled_track,actual_track,timestamp
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,122S,0,1503268478,0,0,1503268478,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,123S,0,1503268568,0,0,1503268568,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,124S,0,1503268658,0,0,1503268658,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,125S,0,1503268748,0,0,1503268748,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,126S,0,1503268868,0,0,1503268868,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,127S,0,1503268958,0,0,1503269048,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,128S,0,1503269138,0,0,1503269138,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,129S,0,1503269228,0,0,1503269228,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,130S,0,1503269288,0,0,1503269288,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,131S,0,1503269348,0,0,1503269348,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,132S,0,1503269408,0,0,1503269408,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,133S,0,1503269498,0,0,1503269498,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,134S,0,1503269588,0,0,1503269588,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,135S,0,1503269678,0,0,1503269678,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,136S,0,1503269738,0,0,1503269738,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,137S,0,1503269828,0,0,1503269828,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,138S,0,1503269918,0,0,1503269918,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,139S,0,1503270008,0,0,1503270008,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,142S,0,1503270128,0,0,0,0,0,1,,0
109150_1..N03R,1,0,,20170820,0,01 1811+ SFT/242,True,1,0,133N,0,1503267618,0,0,1503267618,0,0,4,4,0
